[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | INFO: Run ParseTemplate Behavior [ RunTime:0.015452s ]
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015499s ]
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | INFO: Tag[ view_filter ] --START--
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | INFO: Run ContentReplace Behavior [ RunTime:0.000561s ]
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | INFO: Run TokenBuild Behavior [ RunTime:0.000509s ]
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000279s ]
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | INFO: Run ShowRuntime Behavior [ RunTime:0.000474s ]
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001933s ]
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | INFO: Tag[ view_end ] --START--
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | INFO: Run ShowPageTrace Behavior [ RunTime:0.000423s ]
[ 2017-10-03T17:22:30+08:00 ] /index.php/articletype/index/id/24/p/7/mobile/sitemap.xml | INFO: Tag[ view_end ] --END-- [ RunTime:0.000465s ]
[ 2017-10-03T17:33:07+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-10-03T17:33:07+08:00 ] / | INFO: Tag[ app_begin ] --START--
