[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10228' ) ORDER BY fsort  [ RunTime:0.040003s ]
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10229' ) ORDER BY fsort  [ RunTime:0.040002s ]
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10230' ) ORDER BY fsort  [ RunTime:0.041002s ]
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10231' ) ORDER BY fsort  [ RunTime:0.040003s ]
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10232' ) ORDER BY fsort  [ RunTime:0.041002s ]
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10233' ) ORDER BY fsort  [ RunTime:0.040002s ]
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10234' ) ORDER BY fsort  [ RunTime:0.041003s ]
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10235' ) ORDER BY fsort  [ RunTime:0.040002s ]
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT COUNT(*) AS tp_count FROM `think_pms_functions` WHERE ( `fparentid` = '10056' ) ORDER BY fsort LIMIT 1   [ RunTime:0.040002s ]
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10056' ) ORDER BY fsort  [ RunTime:0.041002s ]
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10142' ) ORDER BY fsort  [ RunTime:0.040003s ]
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10057' ) ORDER BY fsort  [ RunTime:0.040002s ]
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10082' ) ORDER BY fsort  [ RunTime:0.040002s ]
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10113' ) ORDER BY fsort  [ RunTime:0.041003s ]
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT COUNT(*) AS tp_count FROM `think_pms_functions` WHERE ( `fparentid` = '10065' ) ORDER BY fsort LIMIT 1   [ RunTime:0.040002s ]
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | SQL: SELECT fid as id,fname as text,fparentid as parentid,`fremark`,`fsort`,`fstyle`,`furl` FROM `think_pms_functions` WHERE ( `fparentid` = '10065' ) ORDER BY fsort  [ RunTime:0.040002s ]
[ 2017-09-22T10:26:00+08:00 ] /admin.php/pms/functions_getlist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
