[ 2017-09-30T17:44:47+08:00 ] /admin.php/account/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001454s ]
[ 2017-09-30T17:44:47+08:00 ] /admin.php/account/login | INFO: Tag[ view_end ] --START--
[ 2017-09-30T17:44:47+08:00 ] /admin.php/account/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000404s ]
[ 2017-09-30T17:44:47+08:00 ] /admin.php/account/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000434s ]
[ 2017-09-30T17:44:47+08:00 ] /admin.php/account/captcha | INFO: Tag[ route_check ] --START--
[ 2017-09-30T17:44:47+08:00 ] /admin.php/account/captcha | INFO: Run CheckRoute Behavior [ RunTime:0.000627s ]
[ 2017-09-30T17:44:47+08:00 ] /admin.php/account/captcha | INFO: Tag[ route_check ] --END-- [ RunTime:0.000758s ]
[ 2017-09-30T17:44:47+08:00 ] /admin.php/account/captcha | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-09-30T17:44:47+08:00 ] /admin.php/account/captcha | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-09-30T17:44:47+08:00 ] /admin.php/account/captcha | INFO: Tag[ app_begin ] --START--
[ 2017-09-30T17:44:47+08:00 ] /admin.php/account/captcha | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000422s ]
[ 2017-09-30T17:44:47+08:00 ] /admin.php/account/captcha | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000455s ]
[ 2017-09-30T17:45:01+08:00 ] /admin.php/account/dologin | ERR: (ThinkException) Action:echoOk您所请求的方法不存在！
[ 2017-09-30T17:45:01+08:00 ] /admin.php/account/dologin | INFO: Tag[ route_check ] --START--
[ 2017-09-30T17:45:01+08:00 ] /admin.php/account/dologin | INFO: Run CheckRoute Behavior [ RunTime:0.000632s ]
[ 2017-09-30T17:45:01+08:00 ] /admin.php/account/dologin | INFO: Tag[ route_check ] --END-- [ RunTime:0.000757s ]
[ 2017-09-30T17:45:01+08:00 ] /admin.php/account/dologin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-09-30T17:45:01+08:00 ] /admin.php/account/dologin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-09-30T17:45:01+08:00 ] /admin.php/account/dologin | INFO: Tag[ app_begin ] --START--
[ 2017-09-30T17:45:01+08:00 ] /admin.php/account/dologin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000407s ]
[ 2017-09-30T17:45:01+08:00 ] /admin.php/account/dologin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000440s ]
[ 2017-09-30T17:45:01+08:00 ] /admin.php/account/dologin | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-09-30T17:45:01+08:00 ] /admin.php/account/dologin | SQL: SHOW COLUMNS FROM `think_mgr_admin` [ RunTime:0.001864s ]
[ 2017-09-30T17:45:01+08:00 ] /admin.php/account/dologin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-30T17:45:01+08:00 ] /admin.php/account/dologin | SQL: SELECT * FROM `think_mgr_admin` WHERE ( `adm_id` = 'liuning' ) AND ( `adm_status` = 1 ) LIMIT 1   [ RunTime:0.001539s ]
[ 2017-09-30T17:45:01+08:00 ] /admin.php/account/dologin | SQL: SHOW COLUMNS FROM think_mgr_admin as x [ RunTime:0.001662s ]
[ 2017-09-30T17:45:01+08:00 ] /admin.php/account/dologin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-30T17:45:01+08:00 ] /admin.php/account/dologin | SQL: SELECT x.*,(select group_concat(CAST(FFuncId AS char)) from think_pms_userrole a join think_pms_rolefunction b on a.FRoleId=b.FRoleId where FUserId=x.id group by FUserId) as pms FROM think_mgr_admin as x WHERE ( `id` = '20' ) LIMIT 1   [ RunTime:0.002816s ]
[ 2017-09-30T17:45:01+08:00 ] /admin.php/account/dologin | SQL: SHOW COLUMNS FROM think_mgr_admin as a [ RunTime:0.001402s ]
[ 2017-09-30T17:45:01+08:00 ] /admin.php/account/dologin | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-09-30T17:45:01+08:00 ] /admin.php/account/dologin | SQL: SELECT b.froleid FROM think_mgr_admin as a LEFT JOIN think_pms_userrole as b on a.id=b.fuserid WHERE ( `adm_id` = 'liuning' ) AND ( `adm_status` = 1 ) AND ( a.id = '20' ) LIMIT 1   [ RunTime:0.001482s ]
[ 2017-09-30T17:45:01+08:00 ] /admin.php/account/dologin | NOTIC: [8] Undefined offset: 0 AccountAction.class.php 第 121 行.
